Content Manifest for Depot 323911

Manifest ID / date     : 8103081664213196866 / 2016-02-02 01:35:19
Total number of files  : 6473
Total number of chunks : 10357
Total bytes on disk    : 4746202555
Total bytes compressed : 1985737152

          Size Chunks File SHA                                 Flags Name
             0      0 0000000000000000000000000000000000000000    64 bin
             0      0 0000000000000000000000000000000000000000    64 bin\win64
            51      1 EE7DC6F2BAC236BCC3521356BF06AC4A1FDE2DA6     0 bin\win64\minigameslauncher.bat
         44032      1 89A797CC835DCAE1A3D6544A7B0A090B9DE40229     0 bin\win64\mss64dolby.flt
         71168      1 00AD2C452AF4A1F18DAE8FDE34CA726770840FAF     0 bin\win64\mss64ds3d.flt
        131584      1 92DE4FF0AC2FCFE53F581531EA98209473F28D89     0 bin\win64\mss64dsp.flt
        131584      1 7B4C5598E174FB8736A469859278F427B325654F     0 bin\win64\mss64eax.flt
        137728      1 2469CD47FF7437960E872922EDB4B3DE03FD852E     0 bin\win64\mss64mp3.asi
         65024      1 AE046622063395EAB621FA29E1BDEE7735AF9CFF     0 bin\win64\mss64srs.flt
             0      0 0000000000000000000000000000000000000000    64 bin\win64\subtools
             0      0 0000000000000000000000000000000000000000    64 core
             0      0 0000000000000000000000000000000000000000    64 core\cfg
            81      1 6652C4CF154A9270252EBF3A08A6607FAE62A637     0 core\cfg\configdefaults.360.vcfg
            18      1 C3E875E6EB5D69B91A73B002BEE141FF3F57392C     0 core\cfg\configdefaults.linux.vcfg
            18      1 C3E875E6EB5D69B91A73B002BEE141FF3F57392C     0 core\cfg\configdefaults.pc.vcfg
          6058      1 AB2A4351E886A6A07FE646494B26CF3B1D33E9E2     0 core\cfg\configschema.vcfg
         50425      1 0D20F5EBA777E00BF82B259860BEF6FAEDA1F582     0 core\cfg\sfm_default_animation_groups.vcfg
          2399      1 284C466F63CC37E9C356ACE0FE1B273A62276AD8     0 core\cfg\user_keys_default.vcfg
             0      0 0000000000000000000000000000000000000000    64 core\dev
             0      0 0000000000000000000000000000000000000000    64 core\dev\avi
          3560      1 8E10210F00C47B9C9C7E19860C0D6337D804E998     0 core\dev\avi\renderavi.vmat_c
          2608      1 4A339CDD7E989608AEA2C9B4B8E5AD08B0B9E13B     0 core\dev\avi\renderbink.vmat_c
             0      0 0000000000000000000000000000000000000000    64 core\dev\helper
          5680      1 DB9525D5B8BAB2B6EA1C9D3D3F3590BF059C80A4     0 core\dev\helper\reflectivity_90b.vmat_c
          2428      1 32B20E57D35848BFD7C372A76DD7C0870D527685     0 core\dev\helper\reflectivity_90b_color_tga_88186957.vtex_c
          5592      1 57C7C6BC1613CB9A7EE082807BB2328106D5FB01     0 core\dev\helper\testgrid.vmat_c
        176476      1 4F88F34D619D078B83957DBAF9EF308B808817D9     0 core\dev\helper\testgrid_color_tga_7daa5eb8.vtex_c
        176556      1 F372B1952455F71E19B30504F5DC950C4AAE8296     0 core\dev\helper\testgrid_color_tga_9e9cdde1.vtex_c
             0      0 0000000000000000000000000000000000000000    64 core\dev\materialsystem2utils
          1780      1 55B065B4D3A4D9661BDF4361367C8BDB8F8A207C     0 core\dev\materialsystem2utils\pixel.vtex_c
          6088      1 12DF371CA63FB5E381E469D7C1A39A764176BFA1     0 core\dev\point_worldtext_default.vmat_c
             0      0 0000000000000000000000000000000000000000    64 core\dev\vgui
             0      0 0000000000000000000000000000000000000000    64 core\dev\vgui\materials
             0      0 0000000000000000000000000000000000000000    64 core\dev\vgui\materials\fonts
          4074      1 B5FE372EB815D6D8FF703FED85D8AD61B71BB951     0 core\dev\vgui\materials\fonts\buttons.vfont_c
         72248      1 3FBCB3291C38D2D8CF88C35A0CCBB766D9300E42     0 core\dev\vgui\materials\fonts\buttons.vtex_c
             0      0 0000000000000000000000000000000000000000    64 core\dev\vgui\materials\hud
          1804      1 DBC252C986911DA5B51867A5FA51D61D86622F83     0 core\dev\vgui\materials\hud\800corner.vtex_c
          1804      1 C36322B9D66A98EBC9D0B83866E6F2B1EA232E54     0 core\dev\vgui\materials\hud\800corner1.vtex_c
          1804      1 AD01FF5A26B177D9D4DDE5ED527813420095A331     0 core\dev\vgui\materials\hud\800corner2.vtex_c
          1804      1 A58FBEB7B7BF7B5DD33061DAA8CE12F8FDA70945     0 core\dev\vgui\materials\hud\800corner3.vtex_c
          1804      1 B042D802DB8E6AFE59AB840BF47C261E42386232     0 core\dev\vgui\materials\hud\800corner4.vtex_c
         18148      1 B3DAC71ED3F2F60E8D5139EDC3648279F87BFC4C     0 core\dev\vgui\materials\hud\autoaim.vtex_c
         67380      1 C791A9EEAD95B5BC5CEB8103E05FE924D881B3A7     0 core\dev\vgui\materials\hud\gameinstructor_iconsheet1.vtex_c
         67380      1 0E33CCAED567588197B970C09410D91C2E6862F3     0 core\dev\vgui\materials\hud\gameinstructor_iconsheet2.vtex_c
          5860      1 CF27A2D7459E056CDC1748C4B12B914E3EB2EB88     0 core\dev\vgui\materials\hud\icon_check.vtex_c
          5940      1 717DFB95BE84E9D486AA7580817240E7917B5039     0 core\dev\vgui\materials\hud\icon_commentary.vtex_c
          5908      1 F31BF878D96D2E5C452D9937F8DB5774850CF531     0 core\dev\vgui\materials\hud\icon_commentary_off.vtex_c
          2852      1 828B1A5A60B9104A0120DA456E355FD7D766AFE9     0 core\dev\vgui\materials\hud\icon_commentary_small.vtex_c
          5876      1 FF925CADCB529C58FB706C4779DDEB3D9916C9FD     0 core\dev\vgui\materials\hud\icon_complete.vtex_c
          5876      1 1454390B49F842A2EA44646FE624E63D759D27BA     0 core\dev\vgui\materials\hud\icon_locked.vtex_c
         67316      1 42AA929F6E67B533321AF1E9927BD253BD36149F     0 core\dev\vgui\materials\hud\xbox_reticle.vtex_c
          3568      1 322003E3034A9091F0193CE0E22981AB77567DC6     0 core\dev\vgui\materials\renderui.vmat_c
          3624      1 5AF4ECA8A40AF05C35291F027D728EB27B6751E4     0 core\dev\vgui\materials\renderui_stencilmask.vmat_c
       1050388      2 9826299BAEB520D0CB9DEAF0313249EBD8446890     0 core\dev\vgui\materials\white.vtex_c
          2278      1 AC953EC37EC9DD43D9D13AEE0951ECFAE3DA834F     0 core\gameinfo.gi
             0      0 0000000000000000000000000000000000000000    64 core\maps
        703380      1 B8AD95F60E37387DAB6C6F17731F6D9DCED36DD5     0 core\maps\error.vpk
             0      0 0000000000000000000000000000000000000000    64 core\materials
          3576      1 0B6FCEAD7FAE5102BA275F0348E9F1AB4C5C11A0     0 core\materials\console_background.vmat_c
       1399844      2 EA10FE7E40B9359F59C19EA6D927111C9A1EB0A2     0 core\materials\console_background_color_tga_80f6fea8.vtex_c
          3888      1 6B0F66F6B3AA6645F09011AB774FB5EDDD9F1D17     0 core\materials\console_background_vr.vmat_c
             0      0 0000000000000000000000000000000000000000    64 core\materials\debug
          5656      1 C14CBB3327594DE84401A8B28736AA12FFD63BA2     0 core\materials\debug\debugempty.vmat_c
          3828      1 A93A34A08EE7660ECA529DAC2DDC9C8530A7B65D     0 core\materials\debug\debugempty.vtex_c
          4476      1 145390106CADC58B87531CBC03A248482DCA560B     0 core\materials\debug\debugempty_color_tga_80a2b6a.vtex_c
          2820      1 F726A8A82534C2BF789CA5CAC31819DC5F08E62D     0 core\materials\debug\particleerror.vtex_c
             0      0 0000000000000000000000000000000000000000    64 core\materials\default
          2060      1 1856C5A8AA473B983DE94FA5832ACF38C27C719E     0 core\materials\default\default_color_tga_1502c4ae.vtex_c
          1756      1 BE04315B11ECE944D245ED50D22E12A15F60A1F6     0 core\materials\default\default_color_tga_47b1af3d.vtex_c
          1980      1 6A6EF5D61C0C80841E6D0A4489AA9B4323157931     0 core\materials\default\default_metal_tga_8fbc2820.vtex_c
          1996      1 78C3860DBC714DB58E6D9685E714DE8BF101F6C6     0 core\materials\default\default_metal_tga_a60ae4b7.vtex_c
          1908      1 9C806B81B1A19F749FF83F6D0735BDD973E44D74     0 core\materials\default\default_normal_tga_7652cb.vtex_c
          2084      1 8D0C5843005D32B4B9210E7CB98544BD0A459A76     0 core\materials\default\default_normal_tga_b3f4ec4c.vtex_c
          1724      1 F7988917E183FAC6263C61C7DC88B1FBED6A795B     0 core\materials\default\default_tga_fb5095af.vtex_c
             0      0 0000000000000000000000000000000000000000    64 core\materials\deferred_fog
          2496      1 04A4D4B8EEF6298C1145A75733DDCE587DEC0B41     0 core\materials\deferred_fog\fog_apply.vmat_c
          2528      1 BD9D3E5F571135F5D52B42995196B9F6B569C105     0 core\materials\deferred_fog\ground_fog_accumulate.vmat_c
             0      0 0000000000000000000000000000000000000000    64 core\materials\deferred_lights
          2496      1 398E5061615F3654A5B2E4246BB8F8CED26E3A6D     0 core\materials\deferred_lights\irradiancevolume.vmat_c
          2720      1 884DD28B12D76FEC08EBF3385E4F36E1272809B7     0 core\materials\deferred_lights\lightpropagationvolume.vmat_c
          2392      1 10D24F4FDD3BA57AACE90523B084722F61CE94A1     0 core\materials\deferred_lights\lightpropagationvolumeaccumulation.vmat_c
          2360      1 56C3F5793BFDEE7EEED3C10DCFBE5E8B97A8D28E     0 core\materials\deferred_lights\lightpropagationvolumefixup.vmat_c
          2464      1 D5EE3A6B53A436A26D16C36A6B2B3924AC547855     0 core\materials\deferred_lights\lightpropagationvolumegeometryinjection.vmat_c
          2416      1 F893701203F9C9EF7E6034028C94C6B06F86EDA3     0 core\materials\deferred_lights\lightpropagationvolumeinjection.vmat_c
          2744      1 7271085115286B0A6CA0003B3A46A17E0E613A69     0 core\materials\deferred_lights\lightpropagationvolumeinjectiondebug.vmat_c
          2392      1 CC308CB4FF0B99707514D6FD2E63B4CED1469BDC     0 core\materials\deferred_lights\lightpropagationvolumepropagation.vmat_c
          2448      1 ED452D30A593C9745194A8658B33EEC65CD7CC94     0 core\materials\deferred_lights\lightpropagationvolumepropagationocclusion.vmat_c
          2872      1 BD0E45118997EC020D2BFF2B96330242B5C8EADF     0 core\materials\deferred_lights\pointlight.vmat_c
          3824      1 BDC0DD74AC3A38A21C7970F3AE188FA76FDF61C3     0 core\materials\deferred_lights\spotlight.vmat_c
          3848      1 BCC3820D6ABE73C5468D6B0257C2A3672F525BB9     0 core\materials\deferred_lights\spotlight_shadowed.vmat_c
          3872      1 2EEDB4D42F4066B93EF97BA90D2F67D097A90DF2     0 core\materials\deferred_lights\spotlight_volumeshadowed.vmat_c
          3240      1 F641CBF8E7754D4DA432ED2A76752828A638A916     0 core\materials\deferred_lights\ssao_med.vmat_c
          3288      1 6A4F86135B6AB2EF69211F9C45CF40A3D3994282     0 core\materials\deferred_lights\ssao_med_alpha_blend.vmat_c
          1804      1 AE8DCD3922102C9C55F02721AD35358A8F3BFF0D     0 core\materials\deferred_lights\ssao_random_tga.vtex_c
